idMun,dc_municipio SITI,cve_estado
1,Zona Centro,1
2,Delegacion De La Secretaria De Comercio Y Fomento Industrial,1
3,Palacio De Gobierno Del Estado De Aguascalientes,1
4,Colinas Del Rio,1
5,Las Brisas,1
6,Olivares Santana,1
7,Ramon Romo Franco,1
8,San Cayetano,1
9,Colinas De San Ignacio,1
10,Fundicion Ii,1
11,La Fundicion,1
12,Los Sauces,1
13,Linea De Fuego,1
14,Buenos Aires,1
15,Circunvalacion Norte,1
16,Las Arboledas,1
17,Villas De San Francisco,1
18,Villas De La Universidad,1
19,El Sol,1
20,Gremial,1
21,Industrial,1
22,Altavista,1
23,Curtidores,1
24,La Concordia,1
25,Miravalle,1
26,Panorama,1
27,Colinas Del Poniente,1
28,Bugambilias,1
29,Del Carmen,1
30,La Fe,1
31,Mexico,1
32,Primavera,1
33,San Pablo,1
34,Guadalupe,1
35,Heliodoro Garcia,1
36,Gomez,1
37,Moderno,1
38,Valle Del Rio San Pedro,1
39,Guadalupe Posada,1
40,San Marcos,1
41,San Marcos,1
42,Modelo,1
43,Residencial Del Valle I,1
44,Residencial Del Valle Ii,1
45,Campestre 1A. Seccion,1
46,Campestre 2A. Seccion,1
47,Campestre La Herradura,1
48,Club Campestre,1
49,Jardines Del Campestre,1
50,La Querencia,1
51,Los Vergeles,1
52,Rancho San Antonio,1
53,Granjas Del Campestre,1
54,La Enramada,1
55,Las Cavas,1
56,Puerto Las Hadas,1
57,Talamantes Ponce,1
58,Valle Del Campestre,1
59,Villas De Montenegro,1
60,Barrio De Santiago,1
61,La Paloma,1
62,Trojes De Oriente 1A Seccion,1
63,Trojes De Oriente 2A Seccion,1
64,Valle De Las Trojes,1
65,Valle De Santa Teresa,1
66,Villa De Las Trojes,1
67,Villas De San Nicolas,1
68,La Troje,1
69,Santa Fe,1
70,Trojes De Alonso,1
71,Aguascalientes 2000,1
72,Cerrada De La Mezquitera,1
73,Cerrada De La Mision,1
74,Cerrada Del Valle,1
75,Cerrada El Molino,1
76,Las Misiones,1
77,Las Trojes,1
78,Los Jarales,1
79,Mision Del Campanario,1
80,Terzetto,1
81,Trojes De Kristal,1
82,Trojes Del Sol,1
83,Valle Del Campanario,1
84,Valle Real,1
85,Mision De Santiago,1
86,Residencial Santa Clara,1
87,Lomas Del Campestre 2A Seccion,1
88,Los Calicantos,1
89,Villas Del Campestre,1
90,Jardines De La Concepcion 1A Seccion,1
91,Jardines De La Concepcion 2A Seccion,1
92,Los Bosques,1
93,Rinconada Los Bosques,1
94,Arroyo El Molino,1
95,Galerias,1
96,Residencial Altaria,1
97,Constitucion,1
98,El Puertecito,1
99,El Rosedal,1
1806,Burocrata,2
1807,Libertad,2
1808,Nacozari,2
1809,Fovissste,2
1810,Crnl. Esteban Cantu,2
1811,Calafia,2
1812,Ferrocarril,2
1813,Guajardo,2
1814,Nueva Esperanza,2
1815,San Marcos,2
1816,Anahuac,2
1817,Constituyentes,2
1818,Indeco Anahuac,2
1819,Josue Molina,2
1820,Balbuena,2
1821,Zacatecas,2
1822,Zona Industrial,2
1823,Los Arcos,2
1824,18 De Marzo,2
1825,El Vidrio,2
1826,Agualeguas,2
1827,Del Rastro,2
1828,Zacatecas,2
1829,Zona Industrial,2
1830,Nueva,2
1831,Primera Seccion,2
1832,Segunda Seccion,2
1833,Eligio Esquivel,2
1834,Fronteriza,2
1835,Revolucion,2
1836,Santa Clara,2
1837,Pueblo Nuevo,2
1838,Rio Nuevo,2
1839,Baja California,2
1840,Orizaba,2
1841,Desarrollo Urbano Orizaba Sur,2
1842,Hacienda De Mexicali,2
1843,Haciendas Orizaba,2
1844,Las Magdalenas,2
1845,Las Palmeras,2
1846,Los Faisanes,2
1847,Los Olivos,2
1848,Martires De La Democracia,2
1849,Palmar De Orizaba,2
1850,Sindicalista,2
1851,Sol Del Amanecer,2
1852,Ampliacion Lucerna,2
1853,Aztecas,2
1854,Cachanilla,2
1855,Carlos Salinas,2
1856,Desarrollo Urbano Ex Ejido Orizaba,2
1857,El Colonial,2
1858,Ladrilleros Santa Isabel,2
1859,Lucerna,2
1860,Luis Donaldo Colosio,2
1861,Mayos,2
1862,Mision De San Antonio,2
1863,Mision De San Diego De Alcala,2
1864,Mision De San Francisco Javier,2
1865,Mision De San Ignacio,2
1866,Oscar Garzon,2
1867,Real Del Rio,2
1868,Real Del Rio Residencial 2Da Seccion,2
1869,San Martin Caballero,2
1870,San Miguel,2
1871,San Miguel 2Da Etapa,2
1872,Villa Del Campo,2
1873,Villas Coahuila,2
1874,Villas Del Paraiso,2
1875,Villas Galicia,2
1876,Ampliacion Refugio,2
1877,El Angel,2
1878,El Coloso,2
1879,El Coloso Ii,2
1880,El Paraiso,2
1881,El Refugio,2
1882,La Luna,2
1883,Los Milagros,2
1884,Los Vi?ñedos,2
1885,Mision Viejo,2
1886,San Clemente,2
1887,San Jacinto,2
1888,Torremolinos,2
1889,Valle De Las Misiones,2
1890,Valle De Los Angeles,2
1891,Centinela,2
1892,El Sauce,2
1893,Gabriela Mistral,2
1894,La Estrella,2
1895,Las Reinas,2
1896,Nuevo Santa Lucia,2
1897,Popular Centinela,2
1898,San Carlos,2
1899,San Jose,2
1900,San Pablo,2
1901,Santa Catarina,2
1902,Santa Isabel,2
1903,Santa Lorena,2
1904,Condominio Esperanza Agricola,2
1905,Esperanza,2
4230,Las Margaritas,3
4231,Maria Conchita,3
4232,Sector Inalapa,3
4233,Estrella,3
4234,Independencia,3
4235,Las Arboledas,3
4236,Residencial Loreto,3
4237,Santa Maria,3
4238,Las Golondrinas,3
4239,San Bartolo,3
4240,El Palo Verde,3
4241,Ciudad De La Paz,3
4242,Santa Rita,3
4243,Agua De Los Coyotes,3
4244,Las Animas,3
4245,San Evaristo,3
4246,Las Pocitas,3
4247,La Cieneguita,3
4248,San Hilario,3
4249,San Antonio,3
4250,Alfredo V Bonfil,3
4251,Centenario,3
4252,Chametla,3
4253,Comitan,3
4254,El Centenario,3
4255,Paraiso Del Mar,3
4256,Agroexportadora Del Noroeste,3
4257,La Paz (Gral. Manuel Marquez De Leon),3
4258,El Mezquitito,3
4259,San Ramon,3
4260,La Fortuna,3
